149.887,89.3013,180
151.512,89.3213,-178.355
153.028,89.3041,-176.804
154.156,89.44,-175.648
151.732,89.4229,-178.069
151.927,89.4635,-177.854
151.157,89.4326,-178.612
151.257,89.4663,-178.506
158.925,89.4827,-170.8
158.552,89.5072,-171.13
159.196,89.5133,-170.465
157.953,89.4192,-171.734
156.74,89.453,-172.964
164.631,89.4703,-165.016
162.748,89.435,-166.834
161.58,89.4926,-167.971
165.848,89.5646,-163.702
166.348,89.4851,-163.195
164.404,89.3411,-165.129
154.802,89.301,-174.722
158.906,89.2298,-170.601
160.008,89.2937,-169.503
158.964,89.3611,-170.539
166.753,89.3673,-162.73
168.307,89.3063,-161.121
171.337,89.3202,-158.044
167.796,89.3122,-161.564
167.302,89.3099,-162.071
166.962,89.2636,-162.393
166.645,89.3093,-162.656
167.568,89.2711,-161.653
166.31,89.2545,-162.835
165.532,89.2747,-163.598
162.801,89.2433,-166.343
165.371,89.1791,-163.756
168.629,89.1902,-160.451
169.771,89.2688,-159.239
168.757,89.2632,-160.196
167.242,89.2231,-161.7
167.433,89.1417,-161.534
167.588,89.1545,-161.414
168.642,89.0877,-160.313
167.036,89.0972,-161.89
167.475,89.1474,-161.443
160.9,89.0148,-168.005
160.593,89.0556,-168.354
160.332,89.1608,-168.65
163.847,89.1461,-165.094
160.465,89.1581,-168.432
155.068,89.0184,-173.796
156.912,89.0256,-171.919
156.359,88.9352,-172.407
156.494,89.082,-172.243
158.117,88.9954,-170.631
159.15,89.0617,-169.562
161.267,89.082,-167.435
159.589,89.0266,-169.091
159.843,89.0617,-168.829
162.378,89.0408,-166.254
164.131,89.0597,-164.458
161.11,89.0375,-167.502
161.983,89.0432,-166.654
164.855,89.0424,-163.756
165.131,89.0583,-163.414
157.407,89.0984,-171.129
155.231,89.1401,-173.325
156.068,89.116,-172.512
154.614,89.176,-173.95
152.2,89.1534,-176.32
151.199,89.131,-177.275
150.359,89.1303,-178.119
149.983,89.0012,-178.485
151.301,89.0932,-177.15
150.278,89.0967,-178.158
149.364,89.1081,-179.084
148.517,89.0277,-179.932
148.319,89.0203,179.884
148.387,88.9992,179.965
146.179,89.0127,177.75
143.834,88.8717,175.37
143.523,88.8259,175.034
142.454,88.864,173.981
140.055,88.86,171.597
137.766,88.857,169.293
134.908,88.8817,166.371
133.372,88.934,164.759
135.887,88.7768,167.285
136.775,88.8747,168.265
137.7,88.8196,169.277
136.97,88.7707,168.591
137.625,88.7333,169.218
139.405,88.6479,170.952
141.36,88.6922,172.948
141.367,88.7561,173.027
140.272,88.7892,171.954
142.292,88.8777,173.987
142.934,88.7915,174.68
145.988,88.8132,177.753
144.576,88.7587,176.339
141.431,88.6981,173.227
138.071,88.8666,169.86
137.884,88.8658,169.726
138.269,88.8898,170.187
138.668,88.8632,170.621
140.754,88.8577,172.696
142.539,88.7029,174.464
143.227,88.6998,175.133
143.695,88.7554,175.607
144.683,88.8057,176.624
