39,35,241,53,12,-79,-189,424,462
40,40,249,-16,-80,10,-188,425,465
38,36,243,99,5,-61,-182,420,460
40,40,243,68,-20,-24,-185,426,463
39,36,244,41,-50,-69,-184,418,456
40,37,245,50,-22,-25,-186,428,464
38,38,247,65,-26,10,-185,419,458
41,37,244,113,10,3,-188,430,462
39,39,245,22,-65,35,-183,421,458
38,40,244,31,-41,28,-187,429,465
40,37,246,42,-62,-29,-184,421,459
40,36,244,84,-19,-30,-184,429,466
40,38,241,97,-7,21,-185,423,462
40,39,245,19,-61,18,-185,425,459
41,37,248,102,-1,-15,-182,417,463
38,36,243,99,8,-42,-184,417,455
40,38,243,-0,-57,-1,-185,422,465
39,37,246,51,-24,-5,-185,417,459
40,37,246,54,-52,-10,-186,424,464
39,38,247,32,-56,-2,-182,421,459
39,37,243,127,-8,-11,-187,426,463
41,37,245,100,-26,27,-184,418,453
39,39,249,77,-58,26,-184,425,462
39,35,241,126,-15,-25,-187,421,456
38,38,245,18,-60,15,-186,424,466
39,36,244,49,-30,-18,-183,418,459
39,40,247,66,-44,34,-186,425,463
40,37,243,154,-17,-11,-184,420,458
39,37,245,103,-36,-19,-183,422,456
39,36,243,115,4,0,-187,421,464
38,39,243,80,-23,32,-184,419,455
39,36,242,52,-26,-13,-186,421,460
40,39,247,68,-44,-7,-186,418,454
39,35,244,124,6,-29,-182,421,461
39,39,243,62,-48,24,-186,419,459
39,37,248,98,-0,-26,-181,426,461
38,36,239,50,-10,-15,-185,418,455
40,37,250,-27,-89,20,-182,427,461
41,39,243,124,44,-4,-181,422,455
39,36,244,60,-19,-16,-184,426,464
39,38,247,42,-37,-31,-182,421,459
39,38,247,73,-11,-31,-186,424,461
38,35,245,150,7,-71,-183,420,460
39,40,242,132,-15,0,-184,421,458
40,38,246,57,-78,-20,-184,420,463
39,38,246,72,-0,-8,-182,423,460
38,36,245,103,11,-75,-180,422,459
39,35,238,142,46,-49,-186,419,456
39,42,248,10,-61,52,-184,421,462
40,38,244,120,29,-44,-184,421,455
38,37,244,138,12,-70,-185,425,458
39,38,240,130,38,-4,-186,423,454
39,41,246,-3,-58,27,-186,424,459
39,37,244,93,21,-74,-185,422,454
39,38,245,58,-8,-99,-188,425,458
38,36,242,109,31,-103,-186,423,456
37,38,243,41,26,-32,-187,424,461
39,37,249,33,-33,-33,-186,421,457
39,38,242,70,-12,-39,-187,423,458
39,37,247,91,43,-62,-187,423,458
38,36,248,150,47,-8,-190,424,458
40,41,242,158,128,-39,-182,421,456
39,39,244,72,77,-110,-190,423,457
38,40,246,66,88,-121,-189,422,459
38,40,244,137,92,-165,-188,425,454
35,34,243,124,187,-183,-190,423,459
34,32,244,11,120,-109,-192,418,457
37,40,248,71,5,13,-194,424,464
36,40,243,111,51,9,-194,421,453
35,35,242,117,52,2,-192,428,462
35,35,250,77,-22,50,-190,424,455
37,40,249,246,60,93,-195,427,457
37,43,238,332,126,42,-192,421,449
39,42,249,99,25,-11,-193,428,455
34,31,240,-41,177,-79,-192,421,454
37,45,242,-175,-123,179,-194,423,456
38,44,252,-35,164,-163,-192,421,454
46,49,250,65,307,-144,-196,424,456
30,15,230,603,563,-357,-197,423,455
32,60,246,-132,68,207,-199,428,455
32,40,252,30,249,-304,-204,425,459
31,30,230,39,425,-216,-198,427,454
33,49,263,-169,-129,-46,-203,429,462
31,34,248,292,414,-360,-203,422,454
42,73,263,-741,621,-737,-204,430,461
22,104,258,-722,1009,-1643,-213,423,453
69,176,236,355,882,-3129,-232,423,458
84,243,326,-620,-1082,-7516,-241,414,452
133,299,243,-881,-251,-10735,-284,408,462
159,393,225,-1269,1129,-14117,-314,393,456
270,481,120,3984,-31,-19295,-393,383,447
242,271,-134,6732,-2725,-30124,-442,358,434
335,345,-28,-2079,-7908,-30429,-518,266,466
416,-42,465,-7478,-10480,-32768,-549,192,484
421,-493,618,-1054,-2213,-32768,-564,61,508
159,-1024,461,322,1745,-26387,-586,-39,503
161,-53,206,-6942,3168,-698,-593,-51,498
113,205,79,-6797,1758,-4272,-600,-101,494
85,-50,97,-7501,774,-8799,-600,-127,488
71,-116,262,-8034,-354,-6642,-594,-185,488
56,-136,243,-3915,729,-3743,-591,-197,479
46,-113,167,-1737,214,-686,-595,-207,484
33,13,240,-2087,-2364,2142,-588,-206,479
22,86,323,-1871,-2379,1186,-582,-212,490
24,28,364,264,218,-338,-578,-209,483
41,-24,216,1245,1810,-709,-586,-207,487
48,-5,203,787,290,29,-585,-207,480
46,26,262,1356,-950,775,-584,-205,489
48,-9,267,1600,-625,269,-582,-193,487
43,12,280,710,-373,438,-583,-190,492
35,17,226,1951,736,394,-588,-177,489
36,12,214,1184,338,291,-589,-178,493
37,3,253,641,-124,393,-584,-172,492
32,37,242,830,108,547,-585,-172,489
29,20,238,596,76,84,-588,-166,494
44,1,219,1201,76,121,-588,-166,492
52,12,248,-190,-260,238,-587,-165,496
43,29,255,-136,-107,100,-587,-164,489
37,26,250,426,60,-13,-589,-164,495
37,26,243,321,92,-226,-586,-164,490
38,-7,256,198,43,-343,-589,-166,495
33,-2,253,-7,269,280,-583,-164,489
25,42,242,121,191,280,-590,-162,495
22,21,248,398,243,-281,-587,-161,486
26,0,243,451,374,-181,-595,-161,490
35,28,249,834,436,369,-590,-155,483
35,29,225,389,582,33,-599,-160,488
35,12,246,505,229,-141,-597,-156,488
32,22,254,334,-128,-56,-595,-158,486
32,20,247,124,-8,-68,-597,-154,487
26,43,247,-50,-136,-7,-597,-158,486
33,22,252,260,-102,-289,-594,-153,489
32,0,258,275,50,-344,-595,-157,488
31,30,246,148,215,91,-597,-154,491
33,20,236,56,306,-117,-592,-153,480
32,9,232,-21,195,-280,-598,-160,489
31,30,247,-32,-49,-4,-592,-152,483
26,10,242,513,128,-274,-602,-158,488
27,-3,239,341,23,-26,-596,-153,483
29,21,243,240,81,304,-601,-152,488
29,40,240,153,72,150,-599,-150,482
27,19,234,366,29,-103,-600,-155,486
30,7,242,288,-158,-39,-597,-150,483
29,29,266,-125,-290,273,-602,-151,487
29,43,272,-48,-24,187,-598,-154,485
30,36,236,292,407,-115,-601,-152,483
33,21,227,26,7,-237,-596,-150,486
32,11,254,-160,-141,-6,-594,-150,477
27,22,247,259,156,100,-600,-151,483
31,7,241,305,133,-100,-597,-147,479
29,23,252,156,136,108,-602,-150,487
23,32,250,105,116,202,-597,-151,477
24,32,232,428,282,13,-605,-150,484
26,25,238,314,61,-106,-602,-146,478
28,8,261,-58,-86,-79,-603,-150,484
25,44,247,84,115,181,-597,-145,480
28,29,243,272,13,-150,-606,-150,484
31,5,245,223,78,-202,-601,-148,480
28,26,237,83,132,113,-603,-148,485
25,36,259,-145,-104,57,-604,-144,481
21,25,246,123,126,-154,-601,-149,475
23,25,243,250,162,-116,-601,-146,479
26,26,245,233,147,-145,-603,-147,476
19,22,251,-27,126,-153,-601,-150,478
14,47,286,22,501,-276,-603,-148,471
16,32,249,197,1072,-715,-609,-149,476
18,13,249,150,1058,-667,-607,-150,466
21,7,259,261,1127,-445,-614,-151,470
34,-3,248,1133,1137,234,-618,-148,462
43,-36,258,735,1081,431,-624,-150,466
62,-119,301,1373,1257,1841,-625,-132,453
121,-373,396,2272,2343,3989,-638,-123,459
219,-365,370,4488,6431,13520,-656,-63,432
340,-460,338,2594,8391,19788,-683,28,398
504,-499,28,12733,10443,28651,-683,115,372
757,-365,-16,9639,9550,32720,-623,306,318
730,225,-139,-3356,7559,32720,-533,395,315
603,730,228,-12216,-1506,32720,-307,475,368
345,792,383,-15479,-3841,32532,-218,467,407
162,685,497,-12460,-4172,21445,-120,425,452
83,414,264,-3353,234,6440,-105,422,467
49,314,358,-524,-717,3316,-90,411,463
39,197,263,467,1154,871,-86,417,470
21,94,235,-55,1104,-34,-88,408,465
27,66,191,-1546,979,-105,-92,413,472
27,57,233,-1972,130,-542,-99,402,477
25,-15,206,-814,210,-1252,-103,405,485
48,19,277,-863,-366,-728,-100,395,481
45,3,281,-247,187,-955,-109,399,480
48,44,215,1112,321,-776,-109,398,476
29,-32,230,92,-138,-533,-114,406,482
36,29,250,-798,-528,336,-111,398,480
36,58,303,-78,-212,-281,-112,401,481
25,-3,173,300,1211,-775,-115,400,479
33,37,278,-172,-761,-384,-115,402,481
39,31,255,319,-118,-732,-118,400,479
35,13,247,360,452,-865,-122,402,479
39,45,265,-380,-96,-549,-123,400,482
27,-12,212,626,439,-1226,-124,405,474
37,4,241,-177,-142,-405,-133,409,484
33,5,254,-118,-150,-173,-127,397,478
37,33,249,-10,-172,133,-129,408,483
29,7,249,326,-117,-206,-127,401,479
30,10,214,15,154,-34,-128,406,484
35,45,263,-846,-369,229,-126,397,481
35,34,229,-74,-67,-105,-127,404,485
35,44,248,283,-371,-305,-124,399,478
31,-3,235,411,-286,-622,-130,405,480
35,21,245,243,-470,-149,-125,399,477
34,10,250,26,-268,-149,-127,405,481
37,28,219,-181,-268,-50,-125,399,478
40,34,251,-58,-576,-231,-129,404,481
37,13,268,287,-314,-379,-125,407,485
38,15,242,154,41,-179,-123,401,477
38,20,237,-120,-39,-15,-125,406,488
42,28,233,230,-161,-263,-123,400,479
38,10,256,106,-255,-446,-129,408,485
35,11,240,192,-63,-189,-124,403,479
38,26,246,-103,-140,31,-127,407,483
39,30,234,140,-114,11,-124,400,477
43,35,261,296,-311,-14,-128,402,484
36,24,241,669,-89,-267,-127,401,475
36,-5,237,747,-88,-583,-130,410,476
42,22,251,1,-226,-98,-127,403,477
40,27,244,-123,-50,101,-130,406,478
42,31,251,-54,-243,-115,-128,402,480
40,5,238,13,-60,-147,-128,409,481
41,11,250,-395,-120,161,-127,407,484
45,48,266,-326,-53,240,-127,403,481
40,14,237,211,258,-236,-126,405,482
40,30,231,45,145,-37,-126,404,477
40,17,242,-184,-124,-142,-126,407,485
41,26,261,-64,-125,-71,-132,400,479
41,18,251,119,314,-192,-129,407,483
39,7,221,-149,25,63,-127,399,479
41,21,269,-268,-139,201,-131,404,489
41,21,222,141,459,99,-126,401,481
36,11,229,100,196,105,-128,403,486
42,28,263,-400,-210,198,-128,398,478
28,28,249,41,53,89,-127,403,485
38,29,256,-131,161,-37,-127,396,485
43,16,299,-127,288,78,-131,398,486
64,-11,402,-606,1365,228,-137,399,489
93,-30,630,-1247,4100,1113,-138,393,491
177,29,997,-1292,9879,1671,-174,388,498
443,-113,1023,-322,21577,-53,-215,388,495
632,-272,446,6734,32732,361,-368,410,437
370,-28,-243,10697,32736,3789,-435,432,369
84,230,-298,6953,32552,4694,-514,466,272
-89,37,-345,7762,27048,-2606,-542,467,216
-112,-147,-248,12039,21751,-4438,-602,468,102
-30,-132,-125,15938,13859,503,-600,467,50
-95,105,-215,10592,13403,-1700,-601,469,-52
-175,163,-315,-777,10870,-5300,-615,442,-82
-242,113,-225,-5656,3097,-7118,-633,439,-79
-248,104,-28,-3912,-1283,-6987,-661,408,-62
-240,45,21,-3870,-478,-7842,-679,395,-52
-265,-63,-42,-5333,254,-7161,-705,367,-33
-250,-68,38,-2163,-1067,-3673,-712,362,-31
-245,3,-18,-926,-481,416,-709,364,-26
-247,-37,73,-2452,-1731,265,-708,365,-23
-246,-21,56,-1179,-671,909,-706,368,-10
-255,13,-43,-440,345,1336,-703,373,-6
-251,27,21,-2756,-1132,1135,-702,379,2
-251,-36,110,-3688,-1625,211,-697,375,14
-245,-23,16,-897,408,993,-697,383,17
-242,13,3,355,448,1816,-687,379,17
-250,27,16,13,86,1626,-684,387,18
-250,50,35,-73,-31,1426,-691,396,16
-249,23,27,1780,253,363,-676,392,13
-243,24,-17,882,468,342,-685,400,9
-244,10,17,-639,-334,-6,-681,393,8
-244,-5,35,144,-254,523,-681,398,9
-245,23,1,430,172,778,-677,399,8
-249,32,20,-297,-280,404,-682,404,9
-251,21,47,-589,-197,54,-677,400,13
-251,14,9,696,277,42,-680,404,9
-252,21,26,335,-15,129,-673,399,8
-248,32,3,-333,29,-3,-678,406,8
-249,6,13,-650,-498,165,-676,402,10
-246,30,50,88,-252,367,-671,401,15
-249,14,15,570,252,-34,-674,403,12
-251,18,25,597,43,-24,-664,399,9
-245,16,1,720,216,51,-679,405,5
-245,10,22,100,-65,-15,-671,402,7
-245,9,52,-623,-274,156,-674,408,10
-250,25,4,278,294,211,-668,398,7
-251,39,4,154,-76,189,-675,410,9
-251,17,28,-549,-284,-220,-667,408,8
-247,23,28,-819,-199,-71,-675,410,11
-249,10,34,-214,-56,-137,-673,402,14
-247,35,3,190,282,215,-675,411,14
-248,17,11,-73,-117,-40,-673,403,13
-247,12,36,-162,-311,89,-663,403,14
-250,24,18,224,16,309,-673,409,15
-249,26,11,-76,-167,135,-664,405,15
-249,13,26,-166,-318,145,-673,409,16
-250,15,21,10,-202,300,-660,409,18
-250,25,30,108,-142,305,-668,411,16
-251,16,15,649,7,334,-661,409,14
-252,31,-8,952,-241,595,-668,412,12
-244,25,17,1046,-890,536,-658,412,11
-241,29,-41,2182,-776,828,-665,420,10
-231,8,-109,2418,-1893,1066,-653,416,9
-224,-24,-180,7254,-5027,3736,-652,426,7
-158,-53,-418,12157,-6812,7326,-623,445,-14
-39,-50,-608,-2905,-12099,9085,-580,482,35
237,192,-531,-13781,-25670,11719,-547,494,104
500,282,-4,-19938,-32752,4591,-469,472,291
471,-68,436,-26991,-32752,-12928,-443,413,391
378,-265,686,-20179,-32149,-19860,-386,307,507
163,-364,1023,-8650,-28076,-16636,-343,270,543
