-246,0,-3,-14,-74,-78,-679,213,359
-249,-1,-4,56,-58,-55,-671,209,356
-252,0,3,101,-23,7,-677,213,357
-251,1,-3,80,10,-21,-673,211,357
-250,0,-1,5,16,-13,-678,213,356
-249,1,-4,62,-14,-7,-669,210,355
-249,1,-2,32,-22,-54,-678,217,357
-249,-3,-1,18,-65,-71,-668,211,353
-250,0,-2,108,23,0,-676,213,357
-250,0,-2,118,-52,-4,-671,212,353
-249,1,-8,61,-11,-35,-677,214,357
-250,1,-2,-74,-123,-99,-678,213,355
-252,-4,-1,-47,-57,-45,-674,217,358
-251,-1,-3,159,3,46,-678,214,358
-252,1,0,180,60,52,-673,212,355
-250,0,1,91,6,-37,-680,213,354
-248,-1,-5,4,-11,-78,-674,213,356
-246,-1,-11,20,4,-45,-680,215,355
-250,5,-6,28,-167,-34,-673,211,356
-252,-2,-6,33,-47,-85,-680,214,356
-251,1,0,55,-12,-62,-674,213,356
-249,2,0,-16,34,-112,-678,217,359
-250,-3,-1,24,17,-103,-671,208,359
-251,-2,-5,59,43,-66,-677,212,359
-251,-2,-1,150,-7,-25,-677,212,358
-249,1,-4,133,51,-16,-679,211,356
-250,0,-3,61,-21,-35,-677,210,354
-248,-1,-4,-37,1,-50,-680,212,356
-249,0,-1,53,53,-24,-677,213,356
-250,-2,-5,153,15,-15,-676,212,357
-250,0,-5,229,-49,9,-679,209,359
-250,0,-2,219,-74,-38,-676,212,357
-248,1,-5,44,27,-21,-679,213,359
-247,-2,-6,-37,-19,-51,-678,212,351
-250,-2,-2,52,-35,-65,-679,218,355
-251,-1,0,132,25,-50,-674,212,351
-250,-1,-4,197,-4,23,-680,214,356
-250,0,-5,162,-41,20,-676,210,351
-251,-1,-7,33,-6,-57,-679,216,358
-248,0,-3,-67,-33,-86,-678,213,353
-249,-3,-7,-101,-3,-73,-680,212,356
-249,0,-4,135,-70,15,-678,211,354
-249,0,0,83,-21,-12,-680,211,355
-247,2,-12,25,105,-55,-675,211,353
-248,0,-4,41,-116,-18,-681,211,358
-252,0,1,-110,-101,-21,-676,210,355
-252,-4,-3,-100,41,15,-678,210,352
-251,0,-2,116,47,61,-679,210,354
-247,2,-11,122,106,82,-678,212,353
-248,-1,-5,102,-58,1,-680,211,355
-249,0,-11,101,-84,-52,-674,206,351
-250,0,2,184,-196,-48,-681,214,361
-251,-2,-7,87,25,7,-676,212,353
-251,-1,-2,-31,31,-18,-683,211,357
-250,-2,-2,102,-41,1,-676,208,355
-248,1,-9,30,58,-1,-683,215,354
-249,0,-2,61,-169,-79,-677,207,355
-251,-2,-4,29,41,-47,-678,212,353
-252,-2,-2,113,33,-51,-680,210,352
-247,1,-5,119,64,-2,-683,213,356
-250,-1,-4,-64,23,-14,-679,210,353
-251,-3,-4,-67,-20,-32,-679,209,355
-250,-2,-4,74,-29,1,-681,209,356
-249,4,-4,185,-48,55,-673,210,354
-250,0,-3,29,-40,26,-676,212,354
-250,-2,-5,-44,-47,69,-674,207,355
-252,0,-1,-68,-23,59,-683,211,353
-250,1,-4,45,24,47,-674,209,347
-250,0,-4,128,43,1,-682,212,352
-252,0,-3,136,44,22,-676,209,353
-249,0,-11,-10,56,23,-681,212,353
-249,-1,-2,33,-114,-3,-678,213,351
-250,0,-4,50,-111,5,-683,218,352
-249,0,-2,41,-13,32,-675,209,353
-248,0,-7,-33,95,32,-679,215,355
-251,0,-5,-1,21,32,-674,212,349
-252,0,-5,42,-30,8,-673,212,354
-247,1,-2,39,13,-4,-676,213,352
-248,2,-10,-18,109,42,-676,212,351
-249,1,-7,-95,14,25,-676,214,353
-251,0,-3,-66,-14,-13,-671,211,353
-248,1,-5,50,25,79,-678,213,355
-248,1,-4,45,-15,103,-671,213,351
-251,2,-3,-39,43,110,-681,213,352
-249,1,0,-180,23,70,-674,212,352
-252,1,-11,-210,147,52,-680,211,353
-253,0,-2,37,42,-17,-672,212,351
-250,1,-7,262,-50,-34,-679,214,353
-249,3,-7,248,16,-23,-679,211,349
-250,2,-7,129,-4,-68,-677,212,352
-250,1,-10,-75,-6,-84,-677,211,354
-248,-1,-5,-130,-48,-72,-677,211,352
-249,0,-5,116,-58,-21,-678,210,351
-251,3,-6,204,-141,22,-674,213,354
-252,0,-1,70,-144,-103,-674,214,351
-250,1,-9,42,43,-100,-673,212,356
-251,-2,-5,147,-30,-47,-682,212,351
-249,2,-8,54,-34,-22,-673,209,350
-250,3,-11,-6,-41,-28,-677,212,353
-251,2,2,98,-223,35,-673,212,353
-252,1,-5,-10,1,41,-673,211,351
-250,1,-4,160,-8,1,-673,211,351
-250,2,-7,220,-8,-43,-678,213,356
-251,0,-6,104,-73,-90,-675,212,351
-247,1,-13,-32,-42,-63,-674,214,356
-250,1,-7,-47,-84,-85,-677,210,350
-253,1,-3,-51,-82,-76,-680,211,353
-252,0,-3,19,19,-78,-675,213,353
